posts,annotations
cough cough chest pain cough nga naay dugo,"AURI, COVID, PN, TB"
cough pneumonia difficulty breathing chest pain,"AURI, COVID, PN, TB"
sore throat difficulty breathing chest pain cough nga naay dugo,"AURI, COVID, PN, TB"
runny nose cough chest pain diarrhea,"AURI, COVID, PN, TB"
runny nose difficulty breathing difficulty breathing diarrhea,"AURI, COVID, PN, TB"
cough difficulty breathing high fever cough nga naay dugo,"AURI, COVID, PN, TB"
runny nose difficulty breathing difficulty breathing chest pain,"AURI, COVID, PN, TB"
cough difficulty breathing chest pain chest pain,"AURI, COVID, PN, TB"
cough cough difficulty breathing diarrhea,"AURI, COVID, PN, TB"
cough cough high fever diarrhea,"AURI, COVID, PN, TB"
runny nose difficulty breathing difficulty breathing cough nga naay dugo,"AURI, COVID, PN, TB"
sore throat cough high fever chest pain,"AURI, COVID, PN, TB"
sore throat pneumonia chest pain diarrhea,"AURI, COVID, PN, TB"
cough pneumonia difficulty breathing diarrhea,"AURI, COVID, PN, TB"
runny nose cough difficulty breathing diarrhea,"AURI, COVID, PN, TB"
sore throat pneumonia high fever cough nga naay dugo,"AURI, COVID, PN, TB"
sore throat pneumonia chest pain cough nga naay dugo,"AURI, COVID, PN, TB"
sore throat difficulty breathing high fever cough nga naay dugo,"AURI, COVID, PN, TB"
sore throat difficulty breathing chest pain chest pain,"AURI, COVID, PN, TB"
sore throat difficulty breathing high fever chest pain,"AURI, COVID, PN, TB"
cough difficulty breathing high fever diarrhea,"AURI, COVID, PN, TB"
sore throat difficulty breathing difficulty breathing cough nga naay dugo,"AURI, COVID, PN, TB"
cough pneumonia difficulty breathing cough nga naay dugo,"AURI, COVID, PN, TB"
sore throat difficulty breathing high fever diarrhea,"AURI, COVID, PN, TB"
cough pneumonia chest pain chest pain,"AURI, COVID, PN, TB"
runny nose pneumonia chest pain chest pain,"AURI, COVID, PN, TB"
cough pneumonia chest pain diarrhea,"AURI, COVID, PN, TB"
runny nose difficulty breathing chest pain chest pain,"AURI, COVID, PN, TB"
runny nose pneumonia difficulty breathing chest pain,"AURI, COVID, PN, TB"
sore throat pneumonia chest pain chest pain,"AURI, COVID, PN, TB"
runny nose cough chest pain diarrhea,"AURI, COVID, PN, TB"
sore throat pneumonia difficulty breathing diarrhea,"AURI, COVID, PN, TB"
cough pneumonia high fever chest pain,"AURI, COVID, PN, TB"
cough pneumonia high fever cough nga naay dugo,"AURI, COVID, PN, TB"
runny nose cough difficulty breathing diarrhea,"AURI, COVID, PN, TB"
cough cough difficulty breathing chest pain,"AURI, COVID, PN, TB"
runny nose difficulty breathing high fever diarrhea,"AURI, COVID, PN, TB"
sore throat difficulty breathing chest pain chest pain,"AURI, COVID, PN, TB"
sore throat cough chest pain diarrhea,"AURI, COVID, PN, TB"
runny nose pneumonia chest pain cough nga naay dugo,"AURI, COVID, PN, TB"
sore throat difficulty breathing difficulty breathing cough nga naay dugo,"AURI, COVID, PN, TB"
cough difficulty breathing chest pain cough nga naay dugo,"AURI, COVID, PN, TB"
runny nose pneumonia high fever cough nga naay dugo,"AURI, COVID, PN, TB"
sore throat difficulty breathing chest pain cough nga naay dugo,"AURI, COVID, PN, TB"
runny nose difficulty breathing chest pain diarrhea,"AURI, COVID, PN, TB"
runny nose difficulty breathing high fever chest pain,"AURI, COVID, PN, TB"
sore throat cough chest pain chest pain,"AURI, COVID, PN, TB"
runny nose pneumonia difficulty breathing chest pain,"AURI, COVID, PN, TB"
sore throat cough chest pain cough nga naay dugo,"AURI, COVID, PN, TB"
sore throat pneumonia chest pain chest pain,"AURI, COVID, PN, TB"
runny nose cough chest pain diarrhea,"AURI, COVID, PN, TB"
cough cough chest pain chest pain,"AURI, COVID, PN, TB"
runny nose pneumonia chest pain diarrhea,"AURI, COVID, PN, TB"
cough cough difficulty breathing diarrhea,"AURI, COVID, PN, TB"
cough cough high fever cough nga naay dugo,"AURI, COVID, PN, TB"
cough pneumonia high fever chest pain,"AURI, COVID, PN, TB"
cough difficulty breathing difficulty breathing diarrhea,"AURI, COVID, PN, TB"
sore throat pneumonia high fever cough nga naay dugo,"AURI, COVID, PN, TB"
cough cough chest pain cough nga naay dugo,"AURI, COVID, PN, TB"
runny nose pneumonia high fever chest pain,"AURI, COVID, PN, TB"
cough difficulty breathing difficulty breathing chest pain,"AURI, COVID, PN, TB"
sore throat pneumonia chest pain cough nga naay dugo,"AURI, COVID, PN, TB"
cough difficulty breathing chest pain diarrhea,"AURI, COVID, PN, TB"
cough pneumonia difficulty breathing cough nga naay dugo,"AURI, COVID, PN, TB"
sore throat difficulty breathing chest pain cough nga naay dugo,"AURI, COVID, PN, TB"
runny nose difficulty breathing chest pain diarrhea,"AURI, COVID, PN, TB"
runny nose cough difficulty breathing cough nga naay dugo,"AURI, COVID, PN, TB"
runny nose difficulty breathing high fever cough nga naay dugo,"AURI, COVID, PN, TB"
cough cough chest pain chest pain,"AURI, COVID, PN, TB"
cough cough difficulty breathing diarrhea,"AURI, COVID, PN, TB"
sore throat pneumonia high fever diarrhea,"AURI, COVID, PN, TB"
sore throat pneumonia difficulty breathing diarrhea,"AURI, COVID, PN, TB"
sore throat cough high fever cough nga naay dugo,"AURI, COVID, PN, TB"
cough pneumonia difficulty breathing chest pain,"AURI, COVID, PN, TB"
sore throat pneumonia chest pain diarrhea,"AURI, COVID, PN, TB"
cough difficulty breathing high fever chest pain,"AURI, COVID, PN, TB"
runny nose cough difficulty breathing diarrhea,"AURI, COVID, PN, TB"
runny nose difficulty breathing difficulty breathing diarrhea,"AURI, COVID, PN, TB"
sore throat pneumonia high fever cough nga naay dugo,"AURI, COVID, PN, TB"
cough difficulty breathing difficulty breathing chest pain,"AURI, COVID, PN, TB"
sore throat difficulty breathing high fever cough nga naay dugo,"AURI, COVID, PN, TB"
sore throat cough chest pain diarrhea,"AURI, COVID, PN, TB"
cough difficulty breathing chest pain cough nga naay dugo,"AURI, COVID, PN, TB"
cough cough chest pain diarrhea,"AURI, COVID, PN, TB"
sore throat pneumonia high fever chest pain,"AURI, COVID, PN, TB"
cough cough difficulty breathing cough nga naay dugo,"AURI, COVID, PN, TB"
runny nose pneumonia diarrhea,"AURI, COVID, TB"
runny nose cough diarrhea,"AURI, COVID, TB"
sore throat pneumonia cough nga naay dugo,"AURI, COVID, TB"
cough difficulty breathing diarrhea,"AURI, COVID, TB"
sore throat pneumonia chest pain,"AURI, COVID, TB"
cough cough cough nga naay dugo,"AURI, COVID, TB"
cough cough cough nga naay dugo,"AURI, COVID, TB"
cough difficulty breathing diarrhea,"AURI, COVID, TB"
runny nose difficulty breathing cough nga naay dugo,"AURI, COVID, TB"
cough pneumonia chest pain,"AURI, COVID, TB"
cough difficulty breathing chest pain,"AURI, COVID, TB"
runny nose pneumonia chest pain,"AURI, COVID, TB"
sore throat difficulty breathing chest pain,"AURI, COVID, TB"
cough pneumonia diarrhea,"AURI, COVID, TB"
sore throat difficulty breathing diarrhea,"AURI, COVID, TB"
runny nose cough chest pain,"AURI, COVID, TB"
sore throat pneumonia cough nga naay dugo,"AURI, COVID, TB"
sore throat cough cough nga naay dugo,"AURI, COVID, TB"
runny nose pneumonia diarrhea,"AURI, COVID, TB"
sore throat cough diarrhea,"AURI, COVID, TB"
sore throat pneumonia diarrhea,"AURI, COVID, TB"
runny nose difficulty breathing diarrhea,"AURI, COVID, TB"
cough difficulty breathing diarrhea,"AURI, COVID, TB"
cough cough diarrhea,"AURI, COVID, TB"
runny nose difficulty breathing chest pain,"AURI, COVID, TB"
runny nose cough cough nga naay dugo,"AURI, COVID, TB"
cough pneumonia cough nga naay dugo,"AURI, COVID, TB"
cough cough cough nga naay dugo,"AURI, COVID, TB"
sore throat difficulty breathing cough nga naay dugo,"AURI, COVID, TB"
runny nose cough diarrhea,"AURI, COVID, TB"
runny nose difficulty breathing cough nga naay dugo,"AURI, COVID, TB"
cough pneumonia chest pain,"AURI, COVID, TB"
cough difficulty breathing chest pain,"AURI, COVID, TB"
runny nose pneumonia chest pain,"AURI, COVID, TB"
sore throat difficulty breathing chest pain,"AURI, COVID, TB"
runny nose pneumonia cough nga naay dugo,"AURI, COVID, TB"
sore throat difficulty breathing diarrhea,"AURI, COVID, TB"
runny nose cough chest pain,"AURI, COVID, TB"
sore throat pneumonia cough nga naay dugo,"AURI, COVID, TB"
sore throat cough cough nga naay dugo,"AURI, COVID, TB"
runny nose pneumonia diarrhea,"AURI, COVID, TB"
cough difficulty breathing diarrhea,"AURI, COVID, TB"
cough cough chest pain,"AURI, COVID, TB"
cough cough diarrhea,"AURI, COVID, TB"
runny nose cough cough nga naay dugo,"AURI, COVID, TB"
cough cough cough nga naay dugo,"AURI, COVID, TB"
cough pneumonia cough nga naay dugo,"AURI, COVID, TB"
sore throat pneumonia chest pain,"AURI, COVID, TB"
sore throat difficulty breathing cough nga naay dugo,"AURI, COVID, TB"
sore throat cough chest pain,"AURI, COVID, TB"
cough pneumonia chest pain,"AURI, COVID, TB"
cough difficulty breathing chest pain,"AURI, COVID, TB"
sore throat difficulty breathing chest pain,"AURI, COVID, TB"
cough pneumonia diarrhea,"AURI, COVID, TB"
runny nose pneumonia cough nga naay dugo,"AURI, COVID, TB"
sore throat difficulty breathing diarrhea,"AURI, COVID, TB"
runny nose cough chest pain,"AURI, COVID, TB"
sore throat pneumonia cough nga naay dugo,"AURI, COVID, TB"
sore throat cough cough nga naay dugo,"AURI, COVID, TB"
runny nose pneumonia diarrhea,"AURI, COVID, TB"
sore throat cough diarrhea,"AURI, COVID, TB"
sore throat pneumonia diarrhea,"AURI, COVID, TB"
cough difficulty breathing diarrhea,"AURI, COVID, TB"
cough cough chest pain,"AURI, COVID, TB"
runny nose difficulty breathing chest pain,"AURI, COVID, TB"
runny nose cough cough nga naay dugo,"AURI, COVID, TB"
cough pneumonia cough nga naay dugo,"AURI, COVID, TB"
sore throat difficulty breathing cough nga naay dugo,"AURI, COVID, TB"
runny nose cough diarrhea,"AURI, COVID, TB"
runny nose difficulty breathing cough nga naay dugo,"AURI, COVID, TB"
runny nose pneumonia chest pain,"AURI, COVID, TB"
sore throat difficulty breathing chest pain,"AURI, COVID, TB"
cough pneumonia diarrhea,"AURI, COVID, TB"
sore throat difficulty breathing diarrhea,"AURI, COVID, TB"
runny nose cough chest pain,"AURI, COVID, TB"
sore throat cough cough nga naay dugo,"AURI, COVID, TB"
runny nose pneumonia diarrhea,"AURI, COVID, TB"
sore throat cough diarrhea,"AURI, COVID, TB"
sore throat pneumonia diarrhea,"AURI, COVID, TB"
runny nose difficulty breathing diarrhea,"AURI, COVID, TB"
cough difficulty breathing diarrhea,"AURI, COVID, TB"
runny nose difficulty breathing chest pain,"AURI, COVID, TB"
sore throat pneumonia chest pain,"AURI, COVID, TB"
sore throat difficulty breathing cough nga naay dugo,"AURI, COVID, TB"
sore throat cough chest pain,"AURI, COVID, TB"
runny nose cough chest pain chest pain,"AURI, COVID, TB, PN"
runny nose cough chest pain chest pain,"AURI, COVID, TB, PN"
cough pneumonia cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
cough cough chest pain difficulty breathing,"AURI, COVID, TB, PN"
cough pneumonia diarrhea high fever,"AURI, COVID, TB, PN"
runny nose difficulty breathing chest pain chest pain,"AURI, COVID, TB, PN"
cough cough diarrhea chest pain,"AURI, COVID, TB, PN"
runny nose pneumonia chest pain high fever,"AURI, COVID, TB, PN"
runny nose pneumonia diarrhea high fever,"AURI, COVID, TB, PN"
cough cough chest pain high fever,"AURI, COVID, TB, PN"
cough cough chest pain difficulty breathing,"AURI, COVID, TB, PN"
sore throat pneumonia diarrhea high fever,"AURI, COVID, TB, PN"
cough difficulty breathing cough nga naay dugo high fever,"AURI, COVID, TB, PN"
sore throat pneumonia chest pain high fever,"AURI, COVID, TB, PN"
cough cough cough nga naay dugo difficulty breathing,"AURI, COVID, TB, PN"
cough pneumonia diarrhea chest pain,"AURI, COVID, TB, PN"
sore throat cough diarrhea high fever,"AURI, COVID, TB, PN"
runny nose difficulty breathing cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
cough difficulty breathing chest pain high fever,"AURI, COVID, TB, PN"
sore throat difficulty breathing diarrhea difficulty breathing,"AURI, COVID, TB, PN"
cough difficulty breathing diarrhea difficulty breathing,"AURI, COVID, TB, PN"
runny nose difficulty breathing diarrhea difficulty breathing,"AURI, COVID, TB, PN"
cough difficulty breathing diarrhea chest pain,"AURI, COVID, TB, PN"
runny nose pneumonia cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
runny nose pneumonia cough nga naay dugo difficulty breathing,"AURI, COVID, TB, PN"
cough cough diarrhea chest pain,"AURI, COVID, TB, PN"
runny nose cough cough nga naay dugo high fever,"AURI, COVID, TB, PN"
runny nose difficulty breathing diarrhea high fever,"AURI, COVID, TB, PN"
sore throat difficulty breathing diarrhea chest pain,"AURI, COVID, TB, PN"
sore throat pneumonia chest pain difficulty breathing,"AURI, COVID, TB, PN"
runny nose cough cough nga naay dugo difficulty breathing,"AURI, COVID, TB, PN"
cough cough cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
cough difficulty breathing cough nga naay dugo high fever,"AURI, COVID, TB, PN"
sore throat pneumonia chest pain high fever,"AURI, COVID, TB, PN"
sore throat difficulty breathing chest pain high fever,"AURI, COVID, TB, PN"
cough difficulty breathing cough nga naay dugo difficulty breathing,"AURI, COVID, TB, PN"
sore throat cough chest pain high fever,"AURI, COVID, TB, PN"
sore throat cough diarrhea high fever,"AURI, COVID, TB, PN"
runny nose difficulty breathing cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
runny nose cough chest pain difficulty breathing,"AURI, COVID, TB, PN"
runny nose cough diarrhea difficulty breathing,"AURI, COVID, TB, PN"
sore throat cough chest pain chest pain,"AURI, COVID, TB, PN"
sore throat cough cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
runny nose pneumonia chest pain chest pain,"AURI, COVID, TB, PN"
runny nose pneumonia diarrhea difficulty breathing,"AURI, COVID, TB, PN"
runny nose cough cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
runny nose difficulty breathing chest pain chest pain,"AURI, COVID, TB, PN"
runny nose pneumonia cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
cough pneumonia chest pain difficulty breathing,"AURI, COVID, TB, PN"
runny nose difficulty breathing chest pain difficulty breathing,"AURI, COVID, TB, PN"
sore throat difficulty breathing cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
cough pneumonia cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
sore throat difficulty breathing diarrhea chest pain,"AURI, COVID, TB, PN"
cough cough chest pain difficulty breathing,"AURI, COVID, TB, PN"
sore throat difficulty breathing diarrhea high fever,"AURI, COVID, TB, PN"
cough difficulty breathing diarrhea high fever,"AURI, COVID, TB, PN"
runny nose cough cough nga naay dugo difficulty breathing,"AURI, COVID, TB, PN"
cough pneumonia cough nga naay dugo high fever,"AURI, COVID, TB, PN"
sore throat pneumonia diarrhea high fever,"AURI, COVID, TB, PN"
runny nose cough chest pain chest pain,"AURI, COVID, TB, PN"
sore throat difficulty breathing chest pain high fever,"AURI, COVID, TB, PN"
sore throat difficulty breathing chest pain chest pain,"AURI, COVID, TB, PN"
runny nose pneumonia chest pain difficulty breathing,"AURI, COVID, TB, PN"
sore throat cough diarrhea high fever,"AURI, COVID, TB, PN"
cough difficulty breathing chest pain high fever,"AURI, COVID, TB, PN"
sore throat difficulty breathing chest pain difficulty breathing,"AURI, COVID, TB, PN"
sore throat cough chest pain difficulty breathing,"AURI, COVID, TB, PN"
sore throat cough cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
sore throat cough diarrhea chest pain,"AURI, COVID, TB, PN"
runny nose pneumonia cough nga naay dugo difficulty breathing,"AURI, COVID, TB, PN"
sore throat difficulty breathing cough nga naay dugo high fever,"AURI, COVID, TB, PN"
cough difficulty breathing chest pain difficulty breathing,"AURI, COVID, TB, PN"
runny nose difficulty breathing chest pain difficulty breathing,"AURI, COVID, TB, PN"
sore throat pneumonia diarrhea chest pain,"AURI, COVID, TB, PN"
sore throat difficulty breathing diarrhea high fever,"AURI, COVID, TB, PN"
cough difficulty breathing diarrhea high fever,"AURI, COVID, TB, PN"
sore throat pneumonia cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
sore throat pneumonia diarrhea difficulty breathing,"AURI, COVID, TB, PN"
runny nose pneumonia cough nga naay dugo high fever,"AURI, COVID, TB, PN"
sore throat pneumonia chest pain high fever,"AURI, COVID, TB, PN"
sore throat difficulty breathing chest pain chest pain,"AURI, COVID, TB, PN"
sore throat cough cough nga naay dugo difficulty breathing,"AURI, COVID, TB, PN"
cough difficulty breathing cough nga naay dugo difficulty breathing,"AURI, COVID, TB, PN"
sore throat cough diarrhea difficulty breathing,"AURI, COVID, TB, PN"
cough cough diarrhea difficulty breathing,"AURI, COVID, TB, PN"
cough difficulty breathing cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
runny nose cough chest pain difficulty breathing,"AURI, COVID, TB, PN"
sore throat difficulty breathing chest pain difficulty breathing,"AURI, COVID, TB, PN"
runny nose cough diarrhea chest pain,"AURI, COVID, TB, PN"
runny nose difficulty breathing cough nga naay dugo difficulty breathing,"AURI, COVID, TB, PN"
sore throat cough cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
runny nose pneumonia chest pain chest pain,"AURI, COVID, TB, PN"
sore throat cough diarrhea chest pain,"AURI, COVID, TB, PN"
runny nose cough cough nga naay dugo chest pain,"AURI, COVID, TB, PN"
runny nose difficulty breathing diarrhea difficulty breathing,"AURI, COVID, TB, PN"
cough chest pain,"AURI, PN"
cough difficulty breathing,"AURI, PN"
sore throat high fever,"AURI, PN"
runny nose difficulty breathing,"AURI, PN"
sore throat chest pain,"AURI, PN"
runny nose high fever,"AURI, PN"
runny nose high fever,"AURI, PN"
runny nose high fever,"AURI, PN"
sore throat high fever,"AURI, PN"
sore throat difficulty breathing,"AURI, PN"
runny nose high fever,"AURI, PN"
runny nose high fever,"AURI, PN"
runny nose difficulty breathing,"AURI, PN"
runny nose high fever,"AURI, PN"
cough difficulty breathing,"AURI, PN"
runny nose chest pain,"AURI, PN"
runny nose difficulty breathing,"AURI, PN"
sore throat high fever,"AURI, PN"
cough chest pain,"AURI, PN"
sore throat difficulty breathing,"AURI, PN"
sore throat chest pain,"AURI, PN"
cough high fever,"AURI, PN"
runny nose high fever,"AURI, PN"
cough difficulty breathing,"AURI, PN"
runny nose chest pain,"AURI, PN"
runny nose difficulty breathing,"AURI, PN"
sore throat high fever,"AURI, PN"
cough chest pain,"AURI, PN"
sore throat difficulty breathing,"AURI, PN"
sore throat chest pain,"AURI, PN"
cough high fever,"AURI, PN"
runny nose high fever,"AURI, PN"
cough difficulty breathing,"AURI, PN"
runny nose chest pain,"AURI, PN"
sore throat high fever,"AURI, PN"
cough chest pain,"AURI, PN"
sore throat difficulty breathing,"AURI, PN"
sore throat chest pain,"AURI, PN"
cough high fever,"AURI, PN"
runny nose high fever,"AURI, PN"
cough difficulty breathing,"AURI, PN"
runny nose chest pain,"AURI, PN"
runny nose difficulty breathing,"AURI, PN"
sore throat high fever,"AURI, PN"
cough chest pain,"AURI, PN"
sore throat difficulty breathing,"AURI, PN"
sore throat chest pain,"AURI, PN"
cough high fever,"AURI, PN"
runny nose difficulty breathing difficulty breathing,"AURI, PN, COVID"
runny nose difficulty breathing pneumonia,"AURI, PN, COVID"
runny nose difficulty breathing cough,"AURI, PN, COVID"
sore throat difficulty breathing cough,"AURI, PN, COVID"
cough difficulty breathing difficulty breathing,"AURI, PN, COVID"
cough chest pain difficulty breathing,"AURI, PN, COVID"
cough chest pain pneumonia,"AURI, PN, COVID"
runny nose chest pain pneumonia,"AURI, PN, COVID"
sore throat chest pain difficulty breathing,"AURI, PN, COVID"
sore throat high fever difficulty breathing,"AURI, PN, COVID"
cough difficulty breathing difficulty breathing,"AURI, PN, COVID"
sore throat chest pain pneumonia,"AURI, PN, COVID"
cough high fever pneumonia,"AURI, PN, COVID"
runny nose chest pain cough,"AURI, PN, COVID"
runny nose high fever cough,"AURI, PN, COVID"
cough difficulty breathing cough,"AURI, PN, COVID"
sore throat difficulty breathing cough,"AURI, PN, COVID"
cough high fever difficulty breathing,"AURI, PN, COVID"
runny nose difficulty breathing difficulty breathing,"AURI, PN, COVID"
cough high fever cough,"AURI, PN, COVID"
