posts,annotations
ubo hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN"
ubo pulmonya mataas na lagnat,"AURI, COVID, PN"
sipon pulmonya sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan pulmonya mataas na lagnat,"AURI, COVID, PN"
ubo pulmonya hirap sa paghinga,"AURI, COVID, PN"
ubo ubo hirap sa paghinga,"AURI, COVID, PN"
masakit ang lalamunan pulmonya hirap sa paghinga,"AURI, COVID, PN"
sipon ubo sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan pulmonya sakit sa dibdib,"AURI, COVID, PN"
sipon pulmonya mataas na lagnat,"AURI, COVID, PN"
masakit ang lalamunan ubo sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan hirap sa paghinga hirap sa paghinga,"AURI, COVID, PN"
ubo pulmonya sakit sa dibdib,"AURI, COVID, PN"
sipon pulmonya hirap sa paghinga,"AURI, COVID, PN"
ubo hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN"
sipon hirap sa paghinga hirap sa paghinga,"AURI, COVID, PN"
sipon pulmonya sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan hirap sa paghinga mataas na lagnat,"AURI, COVID, PN"
masakit ang lalamunan pulmonya mataas na lagnat,"AURI, COVID, PN"
ubo pulmonya hirap sa paghinga,"AURI, COVID, PN"
ubo hirap sa paghinga mataas na lagnat,"AURI, COVID, PN"
sipon hirap sa paghinga mataas na lagnat,"AURI, COVID, PN"
ubo hirap sa paghinga hirap sa paghinga,"AURI, COVID, PN"
masakit ang lalamunan pulmonya hirap sa paghinga,"AURI, COVID, PN"
sipon ubo sakit sa dibdib,"AURI, COVID, PN"
ubo ubo sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan pulmonya sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan ubo sakit sa dibdib,"AURI, COVID, PN"
sipon ubo hirap sa paghinga,"AURI, COVID, PN"
masakit ang lalamunan ubo hirap sa paghinga,"AURI, COVID, PN"
sipon hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan hirap sa paghinga hirap sa paghinga,"AURI, COVID, PN"
masakit ang lalamunan ubo mataas na lagnat,"AURI, COVID, PN"
ubo hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN"
sipon hirap sa paghinga hirap sa paghinga,"AURI, COVID, PN"
ubo pulmonya mataas na lagnat,"AURI, COVID, PN"
sipon pulmonya sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan hirap sa paghinga mataas na lagnat,"AURI, COVID, PN"
masakit ang lalamunan pulmonya mataas na lagnat,"AURI, COVID, PN"
ubo pulmonya hirap sa paghinga,"AURI, COVID, PN"
ubo hirap sa paghinga mataas na lagnat,"AURI, COVID, PN"
ubo ubo hirap sa paghinga,"AURI, COVID, PN"
masakit ang lalamunan pulmonya hirap sa paghinga,"AURI, COVID, PN"
masakit ang lalamunan pulmonya sakit sa dibdib,"AURI, COVID, PN"
ubo ubo mataas na lagnat,"AURI, COVID, PN"
masakit ang lalamunan ubo sakit sa dibdib,"AURI, COVID, PN"
sipon ubo hirap sa paghinga,"AURI, COVID, PN"
masakit ang lalamunan ubo hirap sa paghinga,"AURI, COVID, PN"
sipon hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN"
ubo pulmonya sakit sa dibdib,"AURI, COVID, PN"
sipon pulmonya hirap sa paghinga,"AURI, COVID, PN"
ubo hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN"
sipon hirap sa paghinga hirap sa paghinga,"AURI, COVID, PN"
ubo pulmonya mataas na lagnat,"AURI, COVID, PN"
sipon pulmonya sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan hirap sa paghinga mataas na lagnat,"AURI, COVID, PN"
masakit ang lalamunan pulmonya mataas na lagnat,"AURI, COVID, PN"
ubo pulmonya hirap sa paghinga,"AURI, COVID, PN"
sipon hirap sa paghinga mataas na lagnat,"AURI, COVID, PN"
ubo hirap sa paghinga hirap sa paghinga,"AURI, COVID, PN"
masakit ang lalamunan pulmonya hirap sa paghinga,"AURI, COVID, PN"
sipon ubo sakit sa dibdib,"AURI, COVID, PN"
masakit ang lalamunan ubo mataas na lagnat pagtatae,"AURI, COVID, PN, TB"
ubo ubo sakit sa dibdib ubo na may dugo,"AURI, COVID, PN, TB"
ubo pulmonya hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN, TB"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib ubo na may dugo,"AURI, COVID, PN, TB"
sipon ubo sakit sa dibdib pagtatae,"AURI, COVID, PN, TB"
sipon hirap sa paghinga hirap sa paghinga pagtatae,"AURI, COVID, PN, TB"
ubo hirap sa paghinga mataas na lagnat ubo na may dugo,"AURI, COVID, PN, TB"
sipon hirap sa paghinga hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN, TB"
ubo hirap sa paghinga sakit sa dibdib sakit sa dibdib,"AURI, COVID, PN, TB"
ubo ubo hirap sa paghinga pagtatae,"AURI, COVID, PN, TB"
ubo ubo mataas na lagnat pagtatae,"AURI, COVID, PN, TB"
sipon hirap sa paghinga hirap sa paghinga ubo na may dugo,"AURI, COVID, PN, TB"
masakit ang lalamunan ubo mataas na lagnat sakit sa dibdib,"AURI, COVID, PN, TB"
masakit ang lalamunan pulmonya sakit sa dibdib pagtatae,"AURI, COVID, PN, TB"
ubo pulmonya hirap sa paghinga pagtatae,"AURI, COVID, PN, TB"
sipon ubo hirap sa paghinga pagtatae,"AURI, COVID, PN, TB"
masakit ang lalamunan pulmonya mataas na lagnat ubo na may dugo,"AURI, COVID, PN, TB"
masakit ang lalamunan pulmonya sakit sa dibdib ubo na may dugo,"AURI, COVID, PN, TB"
masakit ang lalamunan hirap sa paghinga mataas na lagnat ubo na may dugo,"AURI, COVID, PN, TB"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib sakit sa dibdib,"AURI, COVID, PN, TB"
masakit ang lalamunan hirap sa paghinga mataas na lagnat sakit sa dibdib,"AURI, COVID, PN, TB"
ubo hirap sa paghinga mataas na lagnat pagtatae,"AURI, COVID, PN, TB"
masakit ang lalamunan hirap sa paghinga hirap sa paghinga ubo na may dugo,"AURI, COVID, PN, TB"
ubo pulmonya hirap sa paghinga ubo na may dugo,"AURI, COVID, PN, TB"
masakit ang lalamunan hirap sa paghinga mataas na lagnat pagtatae,"AURI, COVID, PN, TB"
ubo pulmonya sakit sa dibdib sakit sa dibdib,"AURI, COVID, PN, TB"
sipon pulmonya sakit sa dibdib sakit sa dibdib,"AURI, COVID, PN, TB"
ubo pulmonya sakit sa dibdib pagtatae,"AURI, COVID, PN, TB"
sipon hirap sa paghinga sakit sa dibdib sakit sa dibdib,"AURI, COVID, PN, TB"
sipon pulmonya hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN, TB"
masakit ang lalamunan pulmonya sakit sa dibdib sakit sa dibdib,"AURI, COVID, PN, TB"
sipon ubo sakit sa dibdib pagtatae,"AURI, COVID, PN, TB"
masakit ang lalamunan pulmonya hirap sa paghinga pagtatae,"AURI, COVID, PN, TB"
ubo pulmonya mataas na lagnat sakit sa dibdib,"AURI, COVID, PN, TB"
ubo pulmonya mataas na lagnat ubo na may dugo,"AURI, COVID, PN, TB"
sipon ubo hirap sa paghinga pagtatae,"AURI, COVID, PN, TB"
ubo ubo hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN, TB"
sipon hirap sa paghinga mataas na lagnat pagtatae,"AURI, COVID, PN, TB"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib sakit sa dibdib,"AURI, COVID, PN, TB"
masakit ang lalamunan ubo sakit sa dibdib pagtatae,"AURI, COVID, PN, TB"
sipon pulmonya sakit sa dibdib ubo na may dugo,"AURI, COVID, PN, TB"
masakit ang lalamunan hirap sa paghinga hirap sa paghinga ubo na may dugo,"AURI, COVID, PN, TB"
ubo hirap sa paghinga sakit sa dibdib ubo na may dugo,"AURI, COVID, PN, TB"
sipon pulmonya mataas na lagnat ubo na may dugo,"AURI, COVID, PN, TB"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib ubo na may dugo,"AURI, COVID, PN, TB"
sipon hirap sa paghinga sakit sa dibdib pagtatae,"AURI, COVID, PN, TB"
sipon hirap sa paghinga mataas na lagnat sakit sa dibdib,"AURI, COVID, PN, TB"
masakit ang lalamunan ubo sakit sa dibdib sakit sa dibdib,"AURI, COVID, PN, TB"
sipon pulmonya hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN, TB"
masakit ang lalamunan ubo sakit sa dibdib ubo na may dugo,"AURI, COVID, PN, TB"
masakit ang lalamunan pulmonya sakit sa dibdib sakit sa dibdib,"AURI, COVID, PN, TB"
sipon ubo sakit sa dibdib pagtatae,"AURI, COVID, PN, TB"
ubo ubo sakit sa dibdib sakit sa dibdib,"AURI, COVID, PN, TB"
sipon pulmonya sakit sa dibdib pagtatae,"AURI, COVID, PN, TB"
ubo ubo hirap sa paghinga pagtatae,"AURI, COVID, PN, TB"
ubo ubo mataas na lagnat ubo na may dugo,"AURI, COVID, PN, TB"
ubo pulmonya mataas na lagnat sakit sa dibdib,"AURI, COVID, PN, TB"
ubo hirap sa paghinga hirap sa paghinga pagtatae,"AURI, COVID, PN, TB"
masakit ang lalamunan pulmonya mataas na lagnat ubo na may dugo,"AURI, COVID, PN, TB"
ubo ubo sakit sa dibdib ubo na may dugo,"AURI, COVID, PN, TB"
sipon pulmonya mataas na lagnat sakit sa dibdib,"AURI, COVID, PN, TB"
ubo hirap sa paghinga hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN, TB"
masakit ang lalamunan pulmonya sakit sa dibdib ubo na may dugo,"AURI, COVID, PN, TB"
ubo hirap sa paghinga sakit sa dibdib pagtatae,"AURI, COVID, PN, TB"
ubo pulmonya hirap sa paghinga ubo na may dugo,"AURI, COVID, PN, TB"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib ubo na may dugo,"AURI, COVID, PN, TB"
sipon hirap sa paghinga sakit sa dibdib pagtatae,"AURI, COVID, PN, TB"
sipon ubo hirap sa paghinga ubo na may dugo,"AURI, COVID, PN, TB"
sipon hirap sa paghinga mataas na lagnat ubo na may dugo,"AURI, COVID, PN, TB"
ubo ubo sakit sa dibdib sakit sa dibdib,"AURI, COVID, PN, TB"
ubo ubo hirap sa paghinga pagtatae,"AURI, COVID, PN, TB"
masakit ang lalamunan pulmonya mataas na lagnat pagtatae,"AURI, COVID, PN, TB"
masakit ang lalamunan pulmonya hirap sa paghinga pagtatae,"AURI, COVID, PN, TB"
masakit ang lalamunan ubo mataas na lagnat ubo na may dugo,"AURI, COVID, PN, TB"
ubo pulmonya hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN, TB"
masakit ang lalamunan pulmonya sakit sa dibdib pagtatae,"AURI, COVID, PN, TB"
ubo hirap sa paghinga mataas na lagnat sakit sa dibdib,"AURI, COVID, PN, TB"
sipon ubo hirap sa paghinga pagtatae,"AURI, COVID, PN, TB"
sipon hirap sa paghinga hirap sa paghinga pagtatae,"AURI, COVID, PN, TB"
masakit ang lalamunan pulmonya mataas na lagnat ubo na may dugo,"AURI, COVID, PN, TB"
ubo hirap sa paghinga hirap sa paghinga sakit sa dibdib,"AURI, COVID, PN, TB"
masakit ang lalamunan hirap sa paghinga mataas na lagnat ubo na may dugo,"AURI, COVID, PN, TB"
masakit ang lalamunan ubo sakit sa dibdib pagtatae,"AURI, COVID, PN, TB"
ubo hirap sa paghinga sakit sa dibdib ubo na may dugo,"AURI, COVID, PN, TB"
ubo ubo sakit sa dibdib pagtatae,"AURI, COVID, PN, TB"
masakit ang lalamunan pulmonya mataas na lagnat sakit sa dibdib,"AURI, COVID, PN, TB"
ubo ubo hirap sa paghinga ubo na may dugo,"AURI, COVID, PN, TB"
sipon pulmonya pagtatae,"AURI, COVID, TB"
sipon ubo pagtatae,"AURI, COVID, TB"
masakit ang lalamunan pulmonya ubo na may dugo,"AURI, COVID, TB"
ubo hirap sa paghinga pagtatae,"AURI, COVID, TB"
masakit ang lalamunan pulmonya sakit sa dibdib,"AURI, COVID, TB"
ubo ubo ubo na may dugo,"AURI, COVID, TB"
ubo ubo ubo na may dugo,"AURI, COVID, TB"
ubo hirap sa paghinga pagtatae,"AURI, COVID, TB"
sipon hirap sa paghinga ubo na may dugo,"AURI, COVID, TB"
ubo pulmonya sakit sa dibdib,"AURI, COVID, TB"
ubo hirap sa paghinga sakit sa dibdib,"AURI, COVID, TB"
sipon pulmonya sakit sa dibdib,"AURI, COVID, TB"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib,"AURI, COVID, TB"
ubo pulmonya pagtatae,"AURI, COVID, TB"
masakit ang lalamunan hirap sa paghinga pagtatae,"AURI, COVID, TB"
sipon ubo sakit sa dibdib,"AURI, COVID, TB"
masakit ang lalamunan pulmonya ubo na may dugo,"AURI, COVID, TB"
masakit ang lalamunan ubo ubo na may dugo,"AURI, COVID, TB"
sipon pulmonya pagtatae,"AURI, COVID, TB"
masakit ang lalamunan ubo pagtatae,"AURI, COVID, TB"
masakit ang lalamunan pulmonya pagtatae,"AURI, COVID, TB"
sipon hirap sa paghinga pagtatae,"AURI, COVID, TB"
ubo hirap sa paghinga pagtatae,"AURI, COVID, TB"
ubo ubo pagtatae,"AURI, COVID, TB"
sipon hirap sa paghinga sakit sa dibdib,"AURI, COVID, TB"
sipon ubo ubo na may dugo,"AURI, COVID, TB"
ubo pulmonya ubo na may dugo,"AURI, COVID, TB"
ubo ubo ubo na may dugo,"AURI, COVID, TB"
masakit ang lalamunan hirap sa paghinga ubo na may dugo,"AURI, COVID, TB"
sipon ubo pagtatae,"AURI, COVID, TB"
sipon hirap sa paghinga ubo na may dugo,"AURI, COVID, TB"
ubo pulmonya sakit sa dibdib,"AURI, COVID, TB"
ubo hirap sa paghinga sakit sa dibdib,"AURI, COVID, TB"
sipon pulmonya sakit sa dibdib,"AURI, COVID, TB"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib,"AURI, COVID, TB"
sipon pulmonya ubo na may dugo,"AURI, COVID, TB"
masakit ang lalamunan hirap sa paghinga pagtatae,"AURI, COVID, TB"
sipon ubo sakit sa dibdib,"AURI, COVID, TB"
masakit ang lalamunan pulmonya ubo na may dugo,"AURI, COVID, TB"
masakit ang lalamunan ubo ubo na may dugo,"AURI, COVID, TB"
sipon pulmonya pagtatae,"AURI, COVID, TB"
ubo hirap sa paghinga pagtatae,"AURI, COVID, TB"
ubo ubo sakit sa dibdib,"AURI, COVID, TB"
ubo ubo pagtatae,"AURI, COVID, TB"
sipon ubo ubo na may dugo,"AURI, COVID, TB"
ubo ubo ubo na may dugo,"AURI, COVID, TB"
ubo pulmonya ubo na may dugo,"AURI, COVID, TB"
masakit ang lalamunan pulmonya sakit sa dibdib,"AURI, COVID, TB"
masakit ang lalamunan hirap sa paghinga ubo na may dugo,"AURI, COVID, TB"
masakit ang lalamunan ubo sakit sa dibdib,"AURI, COVID, TB"
ubo pulmonya sakit sa dibdib,"AURI, COVID, TB"
ubo hirap sa paghinga sakit sa dibdib,"AURI, COVID, TB"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib,"AURI, COVID, TB"
ubo pulmonya pagtatae,"AURI, COVID, TB"
sipon pulmonya ubo na may dugo,"AURI, COVID, TB"
masakit ang lalamunan hirap sa paghinga pagtatae,"AURI, COVID, TB"
sipon ubo sakit sa dibdib,"AURI, COVID, TB"
masakit ang lalamunan pulmonya ubo na may dugo,"AURI, COVID, TB"
masakit ang lalamunan ubo ubo na may dugo,"AURI, COVID, TB"
sipon pulmonya pagtatae,"AURI, COVID, TB"
masakit ang lalamunan ubo pagtatae,"AURI, COVID, TB"
masakit ang lalamunan pulmonya pagtatae,"AURI, COVID, TB"
ubo hirap sa paghinga pagtatae,"AURI, COVID, TB"
ubo ubo sakit sa dibdib,"AURI, COVID, TB"
sipon hirap sa paghinga sakit sa dibdib,"AURI, COVID, TB"
sipon ubo ubo na may dugo,"AURI, COVID, TB"
ubo pulmonya ubo na may dugo,"AURI, COVID, TB"
masakit ang lalamunan hirap sa paghinga ubo na may dugo,"AURI, COVID, TB"
sipon ubo pagtatae,"AURI, COVID, TB"
sipon hirap sa paghinga ubo na may dugo,"AURI, COVID, TB"
sipon pulmonya sakit sa dibdib,"AURI, COVID, TB"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib,"AURI, COVID, TB"
ubo pulmonya pagtatae,"AURI, COVID, TB"
masakit ang lalamunan hirap sa paghinga pagtatae,"AURI, COVID, TB"
sipon ubo sakit sa dibdib,"AURI, COVID, TB"
masakit ang lalamunan ubo ubo na may dugo,"AURI, COVID, TB"
sipon pulmonya pagtatae,"AURI, COVID, TB"
masakit ang lalamunan ubo pagtatae,"AURI, COVID, TB"
masakit ang lalamunan pulmonya pagtatae,"AURI, COVID, TB"
sipon hirap sa paghinga pagtatae,"AURI, COVID, TB"
ubo hirap sa paghinga pagtatae,"AURI, COVID, TB"
sipon hirap sa paghinga sakit sa dibdib,"AURI, COVID, TB"
masakit ang lalamunan pulmonya sakit sa dibdib,"AURI, COVID, TB"
masakit ang lalamunan hirap sa paghinga ubo na may dugo,"AURI, COVID, TB"
masakit ang lalamunan ubo sakit sa dibdib,"AURI, COVID, TB"
sipon ubo sakit sa dibdib sakit sa dibdib,"AURI, COVID, TB, PN"
sipon ubo sakit sa dibdib sakit sa dibdib,"AURI, COVID, TB, PN"
ubo pulmonya ubo na may dugo sakit sa dibdib,"AURI, COVID, TB, PN"
ubo ubo sakit sa dibdib hirap sa paghinga,"AURI, COVID, TB, PN"
ubo pulmonya pagtatae mataas na lagnat,"AURI, COVID, TB, PN"
sipon hirap sa paghinga sakit sa dibdib sakit sa dibdib,"AURI, COVID, TB, PN"
ubo ubo pagtatae sakit sa dibdib,"AURI, COVID, TB, PN"
sipon pulmonya sakit sa dibdib mataas na lagnat,"AURI, COVID, TB, PN"
sipon pulmonya pagtatae mataas na lagnat,"AURI, COVID, TB, PN"
ubo ubo sakit sa dibdib mataas na lagnat,"AURI, COVID, TB, PN"
ubo ubo sakit sa dibdib hirap sa paghinga,"AURI, COVID, TB, PN"
masakit ang lalamunan pulmonya pagtatae mataas na lagnat,"AURI, COVID, TB, PN"
ubo hirap sa paghinga ubo na may dugo mataas na lagnat,"AURI, COVID, TB, PN"
masakit ang lalamunan pulmonya sakit sa dibdib mataas na lagnat,"AURI, COVID, TB, PN"
ubo ubo ubo na may dugo hirap sa paghinga,"AURI, COVID, TB, PN"
ubo pulmonya pagtatae sakit sa dibdib,"AURI, COVID, TB, PN"
masakit ang lalamunan ubo pagtatae mataas na lagnat,"AURI, COVID, TB, PN"
sipon hirap sa paghinga ubo na may dugo sakit sa dibdib,"AURI, COVID, TB, PN"
ubo hirap sa paghinga sakit sa dibdib mataas na lagnat,"AURI, COVID, TB, PN"
masakit ang lalamunan hirap sa paghinga pagtatae hirap sa paghinga,"AURI, COVID, TB, PN"
ubo hirap sa paghinga pagtatae hirap sa paghinga,"AURI, COVID, TB, PN"
sipon hirap sa paghinga pagtatae hirap sa paghinga,"AURI, COVID, TB, PN"
ubo hirap sa paghinga pagtatae sakit sa dibdib,"AURI, COVID, TB, PN"
sipon pulmonya ubo na may dugo sakit sa dibdib,"AURI, COVID, TB, PN"
sipon pulmonya ubo na may dugo hirap sa paghinga,"AURI, COVID, TB, PN"
ubo ubo pagtatae sakit sa dibdib,"AURI, COVID, TB, PN"
sipon ubo ubo na may dugo mataas na lagnat,"AURI, COVID, TB, PN"
sipon hirap sa paghinga pagtatae mataas na lagnat,"AURI, COVID, TB, PN"
masakit ang lalamunan hirap sa paghinga pagtatae sakit sa dibdib,"AURI, COVID, TB, PN"
masakit ang lalamunan pulmonya sakit sa dibdib hirap sa paghinga,"AURI, COVID, TB, PN"
sipon ubo ubo na may dugo hirap sa paghinga,"AURI, COVID, TB, PN"
ubo ubo ubo na may dugo sakit sa dibdib,"AURI, COVID, TB, PN"
ubo hirap sa paghinga ubo na may dugo mataas na lagnat,"AURI, COVID, TB, PN"
masakit ang lalamunan pulmonya sakit sa dibdib mataas na lagnat,"AURI, COVID, TB, PN"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib mataas na lagnat,"AURI, COVID, TB, PN"
ubo hirap sa paghinga ubo na may dugo hirap sa paghinga,"AURI, COVID, TB, PN"
masakit ang lalamunan ubo sakit sa dibdib mataas na lagnat,"AURI, COVID, TB, PN"
masakit ang lalamunan ubo pagtatae mataas na lagnat,"AURI, COVID, TB, PN"
sipon hirap sa paghinga ubo na may dugo sakit sa dibdib,"AURI, COVID, TB, PN"
sipon ubo sakit sa dibdib hirap sa paghinga,"AURI, COVID, TB, PN"
sipon ubo pagtatae hirap sa paghinga,"AURI, COVID, TB, PN"
masakit ang lalamunan ubo sakit sa dibdib sakit sa dibdib,"AURI, COVID, TB, PN"
masakit ang lalamunan ubo ubo na may dugo sakit sa dibdib,"AURI, COVID, TB, PN"
sipon pulmonya sakit sa dibdib sakit sa dibdib,"AURI, COVID, TB, PN"
sipon pulmonya pagtatae hirap sa paghinga,"AURI, COVID, TB, PN"
sipon ubo ubo na may dugo sakit sa dibdib,"AURI, COVID, TB, PN"
sipon hirap sa paghinga sakit sa dibdib sakit sa dibdib,"AURI, COVID, TB, PN"
sipon pulmonya ubo na may dugo sakit sa dibdib,"AURI, COVID, TB, PN"
ubo pulmonya sakit sa dibdib hirap sa paghinga,"AURI, COVID, TB, PN"
sipon hirap sa paghinga sakit sa dibdib hirap sa paghinga,"AURI, COVID, TB, PN"
masakit ang lalamunan hirap sa paghinga ubo na may dugo sakit sa dibdib,"AURI, COVID, TB, PN"
ubo pulmonya ubo na may dugo sakit sa dibdib,"AURI, COVID, TB, PN"
masakit ang lalamunan hirap sa paghinga pagtatae sakit sa dibdib,"AURI, COVID, TB, PN"
ubo ubo sakit sa dibdib hirap sa paghinga,"AURI, COVID, TB, PN"
masakit ang lalamunan hirap sa paghinga pagtatae mataas na lagnat,"AURI, COVID, TB, PN"
ubo hirap sa paghinga pagtatae mataas na lagnat,"AURI, COVID, TB, PN"
sipon ubo ubo na may dugo hirap sa paghinga,"AURI, COVID, TB, PN"
ubo pulmonya ubo na may dugo mataas na lagnat,"AURI, COVID, TB, PN"
masakit ang lalamunan pulmonya pagtatae mataas na lagnat,"AURI, COVID, TB, PN"
sipon ubo sakit sa dibdib sakit sa dibdib,"AURI, COVID, TB, PN"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib mataas na lagnat,"AURI, COVID, TB, PN"
masakit ang lalamunan hirap sa paghinga sakit sa dibdib sakit sa dibdib,"AURI, COVID, TB, PN"
sipon pulmonya sakit sa dibdib hirap sa paghinga,"AURI, COVID, TB, PN"
masakit ang lalamunan ubo pagtatae mataas na lagnat,"AURI, COVID, TB, PN"
